time	Total Usage
1.38E+09	3655.1
1.38E+09	3661.9
1.38E+09	3673.2
1.38E+09	3680.1
1.38E+09	3676
1.38E+09	3662.4
1.38E+09	3659.3
1.38E+09	3659.2
1.38E+09	3659.8
1.38E+09	3659.1
1.38E+09	5066.6
1.38E+09	4499
1.38E+09	4499.7
1.38E+09	4498.7
1.38E+09	4498.6
1.38E+09	4494.9
1.38E+09	4495.7
1.38E+09	4495.7
1.38E+09	4496.6
1.38E+09	4495.7
1.38E+09	4496.2
1.38E+09	4491.8
1.38E+09	4494.5
1.38E+09	4504.5
1.38E+09	4492.5
1.38E+09	4498.9
1.38E+09	4492
1.38E+09	4495.8
1.38E+09	4497.5
1.38E+09	4541.5
1.38E+09	4516
1.38E+09	4508.4
1.38E+09	4493
1.38E+09	4496.9
1.38E+09	4492.5
1.38E+09	4491.7
1.38E+09	4492.9
1.38E+09	4493.2
1.38E+09	4498.9
1.38E+09	4518.5
1.38E+09	4562
1.38E+09	4528.2
1.38E+09	4516.6
1.38E+09	4506.4
1.38E+09	4503.5
1.38E+09	4498.2
1.38E+09	4492.5
1.38E+09	4499.8
1.38E+09	4492.8
1.38E+09	4501.5
1.38E+09	4524.5
1.38E+09	4530.2
1.38E+09	4522.4
1.38E+09	4502.1
1.38E+09	4483.1
1.38E+09	4493.5
1.38E+09	4485.4
1.38E+09	4496.4
1.38E+09	4496.2
1.38E+09	4488.5
1.38E+09	4492.6
1.38E+09	4567.5
1.38E+09	4540.4
1.38E+09	4539.1
1.38E+09	4503.6
1.38E+09	4502.1
1.38E+09	4487.7
1.38E+09	4490.8
1.38E+09	4490
1.38E+09	4491.1
1.38E+09	4492.4
1.38E+09	9804.8
1.38E+09	8993.1
1.38E+09	4537.4
1.38E+09	4543
1.38E+09	4498.1
1.38E+09	4506.3
1.38E+09	4501.9
1.38E+09	4503.3
1.38E+09	4501.9
1.38E+09	4497.4
1.38E+09	4497.3
1.38E+09	4497.6
1.38E+09	4660
1.38E+09	4548.2
1.38E+09	4553.4
1.38E+09	4508
1.38E+09	4500.1
1.38E+09	4493.1
1.38E+09	4489.9
1.38E+09	4497.1
1.38E+09	4490.4
1.38E+09	4493.6
1.38E+09	4502
1.38E+09	4662.4
1.38E+09	4589.8
1.38E+09	4542.8
1.38E+09	4491.1
1.38E+09	4501.2
1.38E+09	4498.4
1.38E+09	4492.3
1.38E+09	4493.2
1.38E+09	4495.6
1.38E+09	4494.8
1.38E+09	4526.3
1.38E+09	4705.9
1.38E+09	4614.5
1.38E+09	4544.3
1.38E+09	4441.8
1.38E+09	4408
1.38E+09	4411.3
1.38E+09	4406.6
1.38E+09	4411.6
1.38E+09	4411.4
1.38E+09	4416.9
1.38E+09	4410.1
1.38E+09	4305.4
1.38E+09	3889.6
1.38E+09	3795.9
1.38E+09	3811.9
1.38E+09	3826.4
1.38E+09	3775.5
1.38E+09	3806.3
1.38E+09	3783.8
1.38E+09	3832.4
1.38E+09	3969.4
1.38E+09	3956.1
1.38E+09	3977.4
1.38E+09	3974.4
1.38E+09	3951.8
1.38E+09	3976.5
1.38E+09	3962
1.38E+09	3963.8
1.38E+09	3992.4
1.38E+09	3925.7
1.38E+09	3836
1.38E+09	3836.2
1.38E+09	3833.2
1.38E+09	3847.1
1.38E+09	3857.5
1.38E+09	3838.8
1.38E+09	3847.1
1.38E+09	3889.5
1.38E+09	4113.1
1.38E+09	3993.6
1.38E+09	3935.6
1.38E+09	3960.8
1.38E+09	3949.1
1.38E+09	3950.5
1.38E+09	3956.5
1.38E+09	3954.2
1.38E+09	3953
1.38E+09	3956.9
1.38E+09	3961.2
1.38E+09	3956.5
1.38E+09	3977.5
1.38E+09	3974.3
1.38E+09	3954.7
1.38E+09	3965.2
1.38E+09	3962.8
1.38E+09	3882.4
1.38E+09	3841.9
1.38E+09	3841
1.38E+09	3836.5
1.38E+09	3832.1
1.38E+09	3837.6
1.38E+09	3837
1.38E+09	3833.6
1.38E+09	3883.2
1.38E+09	4038.7
1.38E+09	3939.7
1.38E+09	3938.1
1.38E+09	3944.4
1.38E+09	3949.4
1.38E+09	3941.2
1.38E+09	3981.3
1.38E+09	3980.5
1.38E+09	3987.9
1.38E+09	3993.8
1.38E+09	3948.9
1.38E+09	3967.9
1.38E+09	3981.5
1.38E+09	3970.4
1.38E+09	3972.2
1.38E+09	3992.6
1.38E+09	3974.1
1.38E+09	3878.3
1.38E+09	3850.1
1.38E+09	3847
1.38E+09	3849
1.38E+09	3864.4
1.38E+09	3850.7
1.38E+09	3852
1.38E+09	3852.3
1.38E+09	3968.3
1.38E+09	4022.5
1.38E+09	3993.4
1.38E+09	3959.4
1.38E+09	3960.3
1.38E+09	13761
1.38E+09	3966.4
1.38E+09	3944.8
1.38E+09	3886.7
1.38E+09	3902.6
1.38E+09	3899.7
1.38E+09	3903
1.38E+09	3885.8
1.38E+09	3880.6
1.38E+09	3891
1.38E+09	3896.6
1.38E+09	3901.9
1.38E+09	3874.7
1.38E+09	3769.6
1.38E+09	3761
1.38E+09	3758.1
1.38E+09	3761.4
1.38E+09	3758.2
1.38E+09	3754.6
1.38E+09	3754.4
1.38E+09	3759.5
1.38E+09	3894.3
1.38E+09	3943.9
1.38E+09	3908.1
1.38E+09	3858.5
1.38E+09	3902
1.38E+09	3905.1
1.38E+09	3900.2
1.38E+09	3875.9
1.38E+09	3886.6
1.38E+09	3883.7
1.38E+09	3876
1.38E+09	3842.6
1.38E+09	3891.7
1.38E+09	3868.5
1.38E+09	3874.3
1.38E+09	3867.4
1.38E+09	3863.2
1.38E+09	3862.2
1.38E+09	3763.6
1.38E+09	3758.4
1.38E+09	3762.6
1.38E+09	3759.4
1.38E+09	3764.8
1.38E+09	3772.5
1.38E+09	3768.3
1.38E+09	3768.9
1.38E+09	3967.8
1.38E+09	3893.6
1.38E+09	3881.9
1.38E+09	3878.1
1.38E+09	3875.8
1.38E+09	3868.1
1.38E+09	3857.6
1.38E+09	3881.3
1.38E+09	3850.2
1.38E+09	3886
1.38E+09	3854.8
1.38E+09	3902.9
1.38E+09	3873
1.38E+09	3884.5
1.38E+09	3883.9
1.38E+09	3851.8
1.38E+09	3877.9
1.38E+09	3840.9
1.38E+09	3764.7
1.38E+09	3759.9
1.38E+09	3770.4
1.38E+09	3762.6
1.38E+09	3765.8
1.38E+09	3769.5
1.38E+09	3765.3
1.38E+09	3772.3
1.38E+09	3986.1
1.38E+09	3911.7
1.38E+09	3914.3
1.38E+09	3883
1.38E+09	3895.6
1.38E+09	3868.1
1.38E+09	3893.7
