time	Total Usage	Microwave	Washing Machine
1381370610	3908.3	1.8	187.7
1381370611	3908.5	1.8	196.2
1381370612	3870.7	1.8	197.4
1381370613	3867.6	1.7	208.7
1381370614	3855.8	1.9	206.1
1381370615	3865.6	1.9	212.3
1381370616	3869.7	1.8	217.4
1381370617	3871.4	1.8	212.9
1381370618	3868.2	1.9	212
1381370619	3867.1	1.8	212.8
1381370620	3872.4	1.7	222.2
1381370621	3871.6	1.7	221.1
1381370622	3868.5	1.9	214.4
1381370623	3858.8	1.7	212.4
1381370624	3860.8	1.8	207
1381370625	3856.6	1.8	204.6
1381370626	3859.4	1.9	207.5
1381370627	3853.8	1.9	203.8
1381370628	3856.1	1.8	204.2
1381370629	3846.6	1.8	197.5
1381370630	3845	1.9	194.2
1381370631	3839.2	1.9	193.1
1381370632	3841.7	1.9	190.3
1381370633	3844.6	1.7	192.3
1381370634	3842.8	1.9	191.8
1381370635	3846.2	1.8	186.8
1381370636	3836.1	1.8	184.2
1381370637	3825.8	1.9	178.2
1381370638	3839.4	1.7	181.1
1381370639	3834.7	1.8	183.4
1381370640	3830.1	1.9	178.3
1381370641	3827.9	1.8	177.3
1381370642	3834.5	1.8	179
1381370643	13827.3	3.5	174.7
1381370644	3831.7	1.8	175.7
1381370645	3829.8	1.8	174.3
1381370646	3829.9	1.9	174
1381370647	3830.7	1.8	174.3
1381370648	3833.1	1.8	176.3
1381370649	3824.6	1.8	175.8
1381370650	3824.2	1.9	172.8
1381370651	3832	1.8	178.3
1381370652	3834.1	1.8	177.3
1381370653	3822.6	1.9	172.3
1381370654	3825	1.9	174.3
1381370655	3825	1.8	173.1
1381370656	3834.4	1.8	173.8
1381370657	3833.7	1.9	170.9
1381370658	3836.2	1.8	175.4
1381370659	3844.6	1.9	175.7
1381370660	3840.8	1.9	181.9
1381370661	3853.4	1.9	192.1
1381370662	3856	1.8	199.4
1381370663	3867.6	1.8	206.1
1381370664	3908	1.8	213
1381370665	4016.4	1.8	222.5
1381370666	4076.2	2	230.4
1381370667	4128.3	1.9	229
1381370668	4205.7	2.1	240.7
1381370669	4269.9	2	242.3
1381370670	4313	2.1	248.2
1381370671	4340.7	2	252.4
1381370672	4359.6	2.1	258.2
1381370673	4350.4	2.1	261.3
1381370674	4356.3	2	264.3
1381370675	4349.6	2	271.6
1381370676	4351.5	2	274.1
1381370677	4353.8	2	280.1
1381370678	4346.5	2	279
1381370679	4079.1	1.8	284.4
1381370680	3955.5	1.7	286.6
1381370681	3941.7	1.7	287.2
1381370682	3936.4	1.7	294.3
1381370683	3949.9	1.7	296.4
1381370684	3960.5	1.7	307.9
1381370685	3960.9	1.8	309.5
1381370686	3965.7	1.8	311.7
1381370687	3973.2	1.8	314.2
1381370688	3973.8	1.7	319.4
1381370689	3705.4	1.8	50.5
1381370690	3668.9	1.7	9.4
1381370691	3654.5	1.8	9.4
1381370692	3652.3	1.9	9.4
1381370693	3656.3	1.9	9.4
1381370694	3653	1.9	9.2
1381370695	3655.2	1.8	9.2
